"t / s";"CH1 / V";"CH2 / V";"MATH / V";"f / Hz";"SP1 / dB";"SP2 / dB";"SPM / dB"
0,003199;1,88;2;3,88;159.950;-59,4572;-60;-59,488
0,0032;1,88;2;3,88;160.000;-45,9868;-60;-45,9758
0,003201;1,88;2;3,88;160.050;-48,5795;-60;-48,5673
0,003202;1,864;2;3,864;160.100;-60;-60;-60
0,003203;1,84;2;3,84;160.150;-60;-60;-60
0,003204;1,84;2;3,84;160.200;-60;-60;-60
0,003205;1,84;2;3,84;160.250;-60;-60;-60
0,003206;1,84;2;3,84;160.300;-60;-60;-60
0,003207;1,84;2;3,84;160.350;-60;-60;-60
0,003208;1,84;2;3,84;160.400;-60;-60;-60
0,003209;1,84;2;3,84;160.450;-60;-60;-60
0,00321;1,84;2;3,84;160.500;-60;-52,1273;-52,0811
0,003211;1,84;2;3,84;160.550;-60;-54,7066;-54,6559
0,003212;1,82;2;3,82;160.600;-60;-60;-60
0,003213;1,8;2;3,8;160.650;-60;-60;-60
0,003214;1,8;2;3,8;160.700;-60;-60;-60
0,003215;1,8;2;3,8;160.750;-60;-60;-60
0,003216;1,8;2;3,8;160.800;-60;-60;-60
0,003217;1,8;2;3,8;160.850;-60;-60;-60
0,003218;1,8;2;3,8;160.900;-60;-60;-60
0,003219;1,8;2;3,8;160.950;-59,5749;-60;-59,6064
0,00322;1,8;2;3,8;161.000;-46,054;-60;-46,0429
0,003221;1,8;2;3,8;161.050;-48,6191;-60;-48,6068
0,003222;1,776;2;3,776;161.100;-60;-60;-60
0,003223;1,76;2;3,76;161.150;-60;-60;-60
0,003224;1,76;2;3,76;161.200;-60;-60;-60
0,003225;1,76;2;3,76;161.250;-60;-60;-60
0,003226;1,76;2;3,76;161.300;-60;-60;-60
0,003227;1,76;2;3,76;161.350;-60;-60;-60
0,003228;1,76;2;3,76;161.400;-60;-60;-60
0,003229;1,76;2;3,76;161.450;-60;-60;-60
0,00323;1,76;2;3,76;161.500;-60;-52,195;-52,1498
0,003231;1,76;2;3,76;161.550;-60;-54,7453;-54,6863
0,003232;1,732;2;3,732;161.600;-60;-60;-60
0,003233;1,72;2;3,72;161.650;-60;-60;-60
0,003234;1,72;2;3,72;161.700;-60;-60;-60
0,003235;1,72;2;3,72;161.750;-60;-60;-60
0,003236;1,72;2;3,72;161.800;-60;-60;-60
0,003237;1,72;2;3,72;161.850;-60;-60;-60
0,003238;1,72;2;3,72;161.900;-60;-60;-60
0,003239;1,72;2;3,72;161.950;-59,6926;-60;-59,7247
0,00324;1,72;2;3,72;162.000;-46,1211;-60;-46,1098
0,003241;1,72;2;3,72;162.050;-48,6584;-60;-48,6459
0,003242;1,688;2;3,688;162.100;-60;-60;-60
0,003243;1,68;2;3,68;162.150;-60;-60;-60
0,003244;1,68;2;3,68;162.200;-60;-60;-60
0,003245;1,68;2;3,68;162.250;-60;-60;-60
0,003246;1,68;2;3,68;162.300;-60;-60;-60
0,003247;1,68;2;3,68;162.350;-60;-60;-60
0,003248;1,68;2;3,68;162.400;-60;-60;-60
0,003249;1,68;2;3,68;162.450;-60;-60;-60
0,00325;1,68;2;3,68;162.500;-60;-52,2625;-52,2168
0,003251;1,68;2;3,68;162.550;-60;-54,7837;-54,7298
0,003252;1,644;2;3,644;162.600;-60;-60;-60
0,003253;1,64;2;3,64;162.650;-60;-60;-60
0,003254;1,64;2;3,64;162.700;-60;-60;-60
0,003255;1,64;2;3,64;162.750;-60;-60;-60
0,003256;1,64;2;3,64;162.800;-60;-60;-60
0,003257;1,64;2;3,64;162.850;-60;-60;-60
0,003258;1,64;2;3,64;162.900;-60;-60;-60
0,003259;1,64;2;3,64;162.950;-59,8068;-60;-59,8396
0,00326;1,64;2;3,64;163.000;-46,1887;-60;-46,1772
0,003261;1,64;2;3,64;163.050;-48,6964;-60;-48,6838
0,003262;1,6;2;3,6;163.100;-60;-60;-60
0,003263;1,6;2;3,6;163.150;-60;-60;-60
0,003264;1,6;2;3,6;163.200;-60;-60;-60
0,003265;1,6;2;3,6;163.250;-60;-60;-60
0,003266;1,6;2;3,6;163.300;-60;-60;-60
0,003267;1,6;2;3,6;163.350;-60;-60;-60
0,003268;1,6;2;3,6;163.400;-60;-60;-60
0,003269;1,6;2;3,6;163.450;-60;-60;-60
0,00327;1,6;2;3,6;163.500;-60;-52,3298;-52,2826
0,003271;1,596;2;3,596;163.550;-60;-54,8219;-54,7687
0,003272;1,56;2;3,56;163.600;-60;-60;-60
0,003273;1,56;2;3,56;163.650;-60;-60;-60
0,003274;1,56;2;3,56;163.700;-60;-60;-60
0,003275;1,56;2;3,56;163.750;-60;-60;-60
0,003276;1,56;2;3,56;163.800;-60;-60;-60
0,003277;1,56;2;3,56;163.850;-60;-60;-60
0,003278;1,56;2;3,56;163.900;-60;-60;-60
0,003279;1,56;2;3,56;163.950;-59,9186;-60;-59,9521
0,00328;1,56;2;3,56;164.000;-46,2565;-60;-46,2449
0,003281;1,552;2;3,552;164.050;-48,7337;-60;-48,7209
0,003282;1,52;2;3,52;164.100;-60;-60;-60
0,003283;1,52;2;3,52;164.150;-60;-60;-60
0,003284;1,52;2;3,52;164.200;-60;-60;-60
0,003285;1,52;2;3,52;164.250;-60;-60;-60
0,003286;1,52;2;3,52;164.300;-60;-60;-60
0,003287;1,52;2;3,52;164.350;-60;-60;-60
0,003288;1,52;2;3,52;164.400;-60;-60;-60
0,003289;1,52;2;3,52;164.450;-60;-60;-60
0,00329;1,52;2;3,52;164.500;-60;-52,3968;-52,3477
0,003291;1,508;2;3,508;164.550;-60;-54,8599;-54,8079
0,003292;1,48;2;3,48;164.600;-60;-60;-60
0,003293;1,48;2;3,48;164.650;-60;-60;-60
0,003294;1,48;2;3,48;164.700;-60;-60;-60
0,003295;1,48;2;3,48;164.750;-60;-60;-60
0,003296;1,48;2;3,48;164.800;-60;-60;-60
0,003297;1,48;2;3,48;164.850;-60;-60;-60
0,003298;1,48;2;3,48;164.900;-60;-60;-60
0,003299;1,48;2;3,48;164.950;-60;-60;-60
0,0033;1,48;2;3,48;165.000;-46,3238;-60;-46,3121
0,003301;1,464;2;3,464;165.050;-48,7709;-60;-48,758
0,003302;1,44;2;3,44;165.100;-60;-60;-60
0,003303;1,44;2;3,44;165.150;-60;-60;-60
0,003304;1,44;2;3,44;165.200;-60;-60;-60
0,003305;1,44;2;3,44;165.250;-60;-60;-60
0,003306;1,44;2;3,44;165.300;-60;-60;-60
0,003307;1,44;2;3,44;165.350;-60;-60;-60
0,003308;1,44;2;3,44;165.400;-60;-60;-60
0,003309;1,44;2;3,44;165.450;-60;-60;-60
0,00331;1,44;2;3,44;165.500;-60;-52,4635;-52,4135
0,003311;1,42;2;3,42;165.550;-60;-54,8977;-54,8456
0,003312;1,4;2;3,4;165.600;-60;-60;-60
0,003313;1,4;2;3,4;165.650;-60;-60;-60
0,003314;1,4;2;3,4;165.700;-60;-60;-60
0,003315;1,4;2;3,4;165.750;-60;-60;-60
0,003316;1,4;2;3,4;165.800;-60;-60;-60
0,003317;1,4;2;3,4;165.850;-60;-60;-60
0,003318;1,4;2;3,4;165.900;-60;-60;-60
0,003319;1,4;2;3,4;165.950;-60;-60;-60
0,00332;1,4;2;3,4;166.000;-46,3903;-60;-46,3785
0,003321;1,376;2;3,376;166.050;-48,8087;-60;-48,7957
0,003322;1,36;2;3,36;166.100;-60;-60;-60
0,003323;1,36;2;3,36;166.150;-60;-60;-60
0,003324;1,36;2;3,36;166.200;-60;-60;-60
0,003325;1,36;2;3,36;166.250;-60;-60;-60
0,003326;1,36;2;3,36;166.300;-60;-60;-60
0,003327;1,36;2;3,36;166.350;-60;-60;-60
0,003328;1,36;2;3,36;166.400;-60;-60;-60
0,003329;1,36;2;3,36;166.450;-60;-60;-60
0,00333;1,36;2;3,36;166.500;-60;-52,5301;-52,4805
0,003331;1,332;2;3,332;166.550;-60;-54,9352;-54,8812
0,003332;1,32;2;3,32;166.600;-60;-60;-60
0,003333;1,32;2;3,32;166.650;-60;-60;-60
0,003334;1,32;2;3,32;166.700;-60;-60;-60
0,003335;1,32;2;3,32;166.750;-60;-60;-60
0,003336;1,32;2;3,32;166.800;-60;-60;-60
0,003337;1,32;2;3,32;166.850;-60;-60;-60
0,003338;1,32;2;3,32;166.900;-60;-60;-60
0,003339;1,32;2;3,32;166.950;-60;-60;-60
0,00334;1,32;2;3,32;167.000;-46,4561;-60;-46,4441
0,003341;1,288;2;3,288;167.050;-48,8471;-60;-48,8339
0,003342;1,28;2;3,28;167.100;-60;-60;-60
0,003343;1,28;2;3,28;167.150;-60;-60;-60
0,003344;1,28;2;3,28;167.200;-60;-60;-60
0,003345;1,28;2;3,28;167.250;-60;-60;-60
0,003346;1,28;2;3,28;167.300;-60;-60;-60
0,003347;1,28;2;3,28;167.350;-60;-60;-60
0,003348;1,28;2;3,28;167.400;-60;-60;-60
0,003349;1,28;2;3,28;167.450;-60;-60;-60
0,00335;1,28;2;3,28;167.500;-60;-52,5964;-52,5477
0,003351;1,244;2;3,244;167.550;-60;-54,9725;-54,9161
0,003352;1,24;2;3,24;167.600;-60;-60;-60
0,003353;1,24;2;3,24;167.650;-60;-60;-60
0,003354;1,24;2;3,24;167.700;-60;-60;-60
0,003355;1,24;2;3,24;167.750;-60;-60;-60
0,003356;1,24;2;3,24;167.800;-60;-60;-60
0,003357;1,24;2;3,24;167.850;-60;-60;-60
0,003358;1,24;2;3,24;167.900;-60;-60;-60
0,003359;1,24;2;3,24;167.950;-60;-60;-60
0,00336;1,24;2;3,24;168.000;-46,5217;-60;-46,5096
0,003361;1,2;2;3,2;168.050;-48,885;-60;-48,8717
0,003362;1,2;2;3,2;168.100;-60;-60;-60
0,003363;1,2;2;3,2;168.150;-60;-60;-60
0,003364;1,2;2;3,2;168.200;-60;-60;-60
0,003365;1,2;2;3,2;168.250;-60;-60;-60
0,003366;1,2;2;3,2;168.300;-60;-60;-60
0,003367;1,2;2;3,2;168.350;-60;-60;-60
0,003368;1,2;2;3,2;168.400;-60;-60;-60
0,003369;1,2;2;3,2;168.450;-60;-60;-60
0,00337;1,196;2;3,196;168.500;-60;-52,6625;-52,6138
0,003371;1,16;2;3,16;168.550;-60;-55,0096;-54,9519
0,003372;1,16;2;3,16;168.600;-60;-60;-60
0,003373;1,16;2;3,16;168.650;-60;-60;-60
0,003374;1,16;2;3,16;168.700;-60;-60;-60
0,003375;1,16;2;3,16;168.750;-60;-60;-60
0,003376;1,16;2;3,16;168.800;-60;-60;-60
0,003377;1,16;2;3,16;168.850;-60;-60;-60
0,003378;1,16;2;3,16;168.900;-60;-60;-60
0,003379;1,16;2;3,16;168.950;-60;-60;-60
0,00338;1,152;2;3,152;169.000;-46,5878;-60;-46,5756
0,003381;1,12;2;3,12;169.050;-48,9219;-60;-48,9084
0,003382;1,12;2;3,12;169.100;-60;-60;-60
0,003383;1,12;2;3,12;169.150;-60;-60;-60
0,003384;1,12;2;3,12;169.200;-60;-60;-60
0,003385;1,12;2;3,12;169.250;-60;-60;-60
0,003386;1,12;2;3,12;169.300;-60;-60;-60
0,003387;1,12;2;3,12;169.350;-60;-60;-60
0,003388;1,12;2;3,12;169.400;-60;-60;-60
0,003389;1,12;2;3,12;169.450;-60;-60;-60
0,00339;1,108;2;3,108;169.500;-60;-52,7284;-52,6783
0,003391;1,08;2;3,08;169.550;-60;-55,0465;-54,9894
0,003392;1,08;2;3,08;169.600;-60;-60;-60
0,003393;1,08;2;3,08;169.650;-60;-60;-60
0,003394;1,08;2;3,08;169.700;-60;-60;-60
0,003395;1,08;2;3,08;169.750;-60;-60;-60
0,003396;1,08;2;3,08;169.800;-60;-60;-60
0,003397;1,08;2;3,08;169.850;-60;-60;-60
0,003398;1,08;2;3,08;169.900;-60;-60;-60
0,003399;1,08;2;3,08;169.950;-60;-60;-60
0,0034;1,064;2;3,064;170.000;-46,6543;-60;-46,6419
0,003401;1,04;2;3,04;170.050;-48,9578;-60;-48,9442
0,003402;1,04;2;3,04;170.100;-60;-60;-60
0,003403;1,04;2;3,04;170.150;-60;-60;-60
0,003404;1,04;2;3,04;170.200;-60;-60;-60
0,003405;1,04;2;3,04;170.250;-60;-60;-60
0,003406;1,04;2;3,04;170.300;-60;-60;-60
0,003407;1,04;2;3,04;170.350;-60;-60;-60
0,003408;1,04;2;3,04;170.400;-60;-60;-60
0,003409;1,04;2;3,04;170.450;-60;-60;-60
0,00341;1,02;2;3,02;170.500;-60;-52,7941;-52,7418
0,003411;1;2;3;170.550;-60;-55,0832;-55,0276
0,003412;1;2;3;170.600;-60;-60;-60
0,003413;1;2;3;170.650;-60;-60;-60
0,003414;1;2;3;170.700;-60;-60;-60
0,003415;1;2;3;170.750;-60;-60;-60
0,003416;1;2;3;170.800;-60;-60;-60
0,003417;1;2;3;170.850;-60;-60;-60
0,003418;1;2;3;170.900;-60;-60;-60
0,003419;1;2;3;170.950;-60;-60;-60
0,00342;0,976;2;2,976;171.000;-46,7206;-60;-46,7081
0,003421;0,96;2;2,96;171.050;-48,9934;-60;-48,9797
0,003422;0,96;2;2,96;171.100;-60;-60;-60
0,003423;0,96;2;2,96;171.150;-60;-60;-60
0,003424;0,96;2;2,96;171.200;-60;-60;-60
0,003425;0,96;2;2,96;171.250;-60;-60;-60
0,003426;0,96;2;2,96;171.300;-60;-60;-60
0,003427;0,96;2;2,96;171.350;-60;-60;-60
0,003428;0,96;2;2,96;171.400;-60;-60;-60
0,003429;0,96;2;2,96;171.450;-60;-60;-60
0,00343;0,932;2;2,932;171.500;-60;-52,8596;-52,8056
0,003431;0,92;2;2,92;171.550;-60;-55,1197;-55,0648
0,003432;0,92;2;2,92;171.600;-60;-60;-60
0,003433;0,92;2;2,92;171.650;-60;-60;-60
0,003434;0,92;2;2,92;171.700;-60;-60;-60
0,003435;0,92;2;2,92;171.750;-60;-60;-60
0,003436;0,92;2;2,92;171.800;-60;-60;-60
0,003437;0,92;2;2,92;171.850;-60;-60;-60
0,003438;0,92;2;2,92;171.900;-60;-60;-60
0,003439;0,92;2;2,92;171.950;-60;-60;-60
0,00344;0,888;2;2,888;172.000;-46,7856;-60;-46,773
0,003441;0,88;2;2,88;172.050;-49,0302;-60;-49,0163
0,003442;0,88;2;2,88;172.100;-60;-60;-60
0,003443;0,88;2;2,88;172.150;-60;-60;-60
0,003444;0,88;2;2,88;172.200;-60;-60;-60
0,003445;0,88;2;2,88;172.250;-60;-60;-60
0,003446;0,88;2;2,88;172.300;-60;-60;-60
0,003447;0,88;2;2,88;172.350;-60;-60;-60
0,003448;0,88;2;2,88;172.400;-60;-60;-60
0,003449;0,88;2;2,88;172.450;-60;-60;-60
0,00345;0,844;2;2,844;172.500;-60;-52,9249;-52,8718
0,003451;0,84;2;2,84;172.550;-60;-55,156;-55,0985
0,003452;0,84;2;2,84;172.600;-60;-60;-60
0,003453;0,84;2;2,84;172.650;-60;-60;-60
0,003454;0,84;2;2,84;172.700;-60;-60;-60
0,003455;0,84;2;2,84;172.750;-60;-60;-60
0,003456;0,84;2;2,84;172.800;-60;-60;-60
0,003457;0,84;2;2,84;172.850;-60;-60;-60
0,003458;0,84;2;2,84;172.900;-60;-60;-60
0,003459;0,84;2;2,84;172.950;-60;-60;-60
0,00346;0,8;2;2,8;173.000;-46,8503;-60;-46,8375
0,003461;0,8;2;2,8;173.050;-49,0672;-60;-49,0531
0,003462;0,8;2;2,8;173.100;-60;-60;-60
0,003463;0,8;2;2,8;173.150;-60;-60;-60
0,003464;0,8;2;2,8;173.200;-60;-60;-60
0,003465;0,8;2;2,8;173.250;-60;-60;-60
0,003466;0,8;2;2,8;173.300;-60;-60;-60
0,003467;0,8;2;2,8;173.350;-60;-60;-60
0,003468;0,8;2;2,8;173.400;-60;-60;-60
0,003469;0,796;2;2,796;173.450;-60;-60;-60
0,00347;0,76;2;2,76;173.500;-60;-52,9899;-52,9379
0,003471;0,76;2;2,76;173.550;-60;-55,1921;-55,132
0,003472;0,76;2;2,76;173.600;-60;-60;-60
0,003473;0,76;2;2,76;173.650;-60;-60;-60
0,003474;0,76;2;2,76;173.700;-60;-60;-60
0,003475;0,76;2;2,76;173.750;-60;-60;-60
0,003476;0,76;2;2,76;173.800;-60;-60;-60
0,003477;0,76;2;2,76;173.850;-60;-60;-60
0,003478;0,76;2;2,76;173.900;-60;-60;-60
0,003479;0,752;2;2,752;173.950;-60;-60;-60
0,00348;0,72;2;2,72;174.000;-46,9146;-60;-46,9016
0,003481;0,72;2;2,72;174.050;-49,104;-60;-49,0898
0,003482;0,72;2;2,72;174.100;-60;-60;-60
0,003483;0,72;2;2,72;174.150;-60;-60;-60
0,003484;0,72;2;2,72;174.200;-60;-60;-60
0,003485;0,72;2;2,72;174.250;-60;-60;-60
0,003486;0,72;2;2,72;174.300;-60;-60;-60
0,003487;0,72;2;2,72;174.350;-60;-60;-60
0,003488;0,72;2;2,72;174.400;-60;-60;-60
0,003489;0,708;2;2,708;174.450;-60;-60;-60
0,00349;0,68;2;2,68;174.500;-60;-53,0548;-53,003
0,003491;0,68;2;2,68;174.550;-60;-55,228;-55,1663
0,003492;0,68;2;2,68;174.600;-60;-60;-60
0,003493;0,68;2;2,68;174.650;-60;-60;-60
0,003494;0,68;2;2,68;174.700;-60;-60;-60
0,003495;0,68;2;2,68;174.750;-60;-60;-60
0,003496;0,68;2;2,68;174.800;-60;-60;-60
0,003497;0,68;2;2,68;174.850;-60;-60;-60
0,003498;0,68;2;2,68;174.900;-60;-60;-60
0,003499;0,664;2;2,664;174.950;-60;-60;-60
0,0035;0,64;2;2,64;175.000;-46,9794;-60;-46,9663
0,003501;0,64;2;2,64;175.050;-49,1398;-60;-49,1254
0,003502;0,64;2;2,64;175.100;-60;-60;-60
0,003503;0,64;2;2,64;175.150;-60;-60;-60
0,003504;0,64;2;2,64;175.200;-60;-60;-60
0,003505;0,64;2;2,64;175.250;-60;-60;-60
0,003506;0,64;2;2,64;175.300;-60;-60;-60
0,003507;0,64;2;2,64;175.350;-60;-60;-60
0,003508;0,64;2;2,64;175.400;-60;-60;-60
0,003509;0,62;2;2,62;175.450;-60;-60;-60
0,00351;0,6;2;2,6;175.500;-60;-53,1195;-53,0662
0,003511;0,6;2;2,6;175.550;-60;-55,2636;-55,2026
0,003512;0,6;2;2,6;175.600;-60;-60;-60
0,003513;0,6;2;2,6;175.650;-60;-60;-60
0,003514;0,6;2;2,6;175.700;-60;-60;-60
0,003515;0,6;2;2,6;175.750;-60;-60;-60
0,003516;0,6;2;2,6;175.800;-60;-60;-60
0,003517;0,6;2;2,6;175.850;-60;-60;-60
0,003518;0,6;2;2,6;175.900;-60;-60;-60
0,003519;0,576;2;2,576;175.950;-60;-60;-60
0,00352;0,56;2;2,56;176.000;-47,0448;-60;-47,0315
0,003521;0,56;2;2,56;176.050;-49,1744;-60;-49,1599
0,003522;0,56;2;2,56;176.100;-60;-60;-60
0,003523;0,56;2;2,56;176.150;-60;-60;-60
0,003524;0,56;2;2,56;176.200;-60;-60;-60
0,003525;0,56;2;2,56;176.250;-60;-60;-60
0,003526;0,56;2;2,56;176.300;-60;-60;-60
0,003527;0,56;2;2,56;176.350;-60;-60;-60
0,003528;0,56;2;2,56;176.400;-60;-60;-60
0,003529;0,532;2;2,532;176.450;-60;-60;-60
0,00353;0,52;2;2,52;176.500;-60;-53,184;-53,1282
0,003531;0,52;2;2,52;176.550;-60;-55,2992;-55,2399
0,003532;0,52;2;2,52;176.600;-60;-60;-60
0,003533;0,52;2;2,52;176.650;-60;-60;-60
0,003534;0,52;2;2,52;176.700;-60;-60;-60
0,003535;0,52;2;2,52;176.750;-60;-60;-60
0,003536;0,52;2;2,52;176.800;-60;-60;-60
0,003537;0,52;2;2,52;176.850;-60;-60;-60
0,003538;0,52;2;2,52;176.900;-60;-60;-60
0,003539;0,488;2;2,488;176.950;-60;-60;-60
0,00354;0,48;2;2,48;177.000;-47,11;-60;-47,0967
0,003541;0,48;2;2,48;177.050;-49,2087;-60;-49,194
0,003542;0,48;2;2,48;177.100;-60;-60;-60
0,003543;0,48;2;2,48;177.150;-60;-60;-60
0,003544;0,48;2;2,48;177.200;-60;-60;-60
0,003545;0,48;2;2,48;177.250;-60;-60;-60
0,003546;0,48;2;2,48;177.300;-60;-60;-60
0,003547;0,48;2;2,48;177.350;-60;-60;-60
0,003548;0,48;2;2,48;177.400;-60;-60;-60
0,003549;0,444;2;2,444;177.450;-60;-60;-60
0,00355;0,44;2;2,44;177.500;-60;-53,2483;-53,1909
0,003551;0,44;2;2,44;177.550;-60;-55,3345;-55,2759
0,003552;0,44;2;2,44;177.600;-60;-60;-60
0,003553;0,44;2;2,44;177.650;-60;-60;-60
0,003554;0,44;2;2,44;177.700;-60;-60;-60
0,003555;0,44;2;2,44;177.750;-60;-60;-60
0,003556;0,44;2;2,44;177.800;-60;-60;-60
0,003557;0,44;2;2,44;177.850;-60;-60;-60
0,003558;0,44;2;2,44;177.900;-60;-60;-60
0,003559;0,4;2;2,4;177.950;-60;-60;-60
0,00356;0,4;2;2,4;178.000;-47,1743;-60;-47,1608
0,003561;0,4;2;2,4;178.050;-49,2438;-60;-49,229
0,003562;0,4;2;2,4;178.100;-60;-60;-60
0,003563;0,4;2;2,4;178.150;-60;-60;-60
0,003564;0,4;2;2,4;178.200;-60;-60;-60
0,003565;0,4;2;2,4;178.250;-60;-60;-60
0,003566;0,4;2;2,4;178.300;-60;-60;-60
0,003567;0,4;2;2,4;178.350;-60;-60;-60
0,003568;0,396;2;2,396;178.400;-60;-60;-60
0,003569;0,36;2;2,36;178.450;-60;-60;-60
0,00357;0,36;2;2,36;178.500;-60;-53,3125;-53,2553
0,003571;0,36;2;2,36;178.550;-60;-55,3696;-55,3093
0,003572;0,36;2;2,36;178.600;-60;-60;-60
0,003573;0,36;2;2,36;178.650;-60;-60;-60
0,003574;0,36;2;2,36;178.700;-60;-60;-60
0,003575;0,36;2;2,36;178.750;-60;-60;-60
0,003576;0,36;2;2,36;178.800;-60;-60;-60
0,003577;0,36;2;2,36;178.850;-60;-60;-60
0,003578;0,352;2;2,352;178.900;-60;-60;-60
0,003579;0,32;2;2,32;178.950;-60;-60;-60
0,00358;0,32;2;2,32;179.000;-47,2375;-60;-47,2239
0,003581;0,32;2;2,32;179.050;-49,28;-60;-49,265
0,003582;0,32;2;2,32;179.100;-60;-60;-60
0,003583;0,32;2;2,32;179.150;-60;-60;-60
0,003584;0,32;2;2,32;179.200;-60;-60;-60
0,003585;0,32;2;2,32;179.250;-60;-60;-60
0,003586;0,32;2;2,32;179.300;-60;-60;-60
0,003587;0,32;2;2,32;179.350;-60;-60;-60
0,003588;0,308;2;2,308;179.400;-60;-60;-60
0,003589;0,28;2;2,28;179.450;-60;-60;-60
0,00359;0,28;2;2,28;179.500;-60;-53,3764;-53,3208
0,003591;0,28;2;2,28;179.550;-60;-55,4046;-55,3409
0,003592;0,28;2;2,28;179.600;-60;-60;-60
0,003593;0,28;2;2,28;179.650;-60;-60;-60
0,003594;0,28;2;2,28;179.700;-60;-60;-60
0,003595;0,28;2;2,28;179.750;-60;-60;-60
0,003596;0,28;2;2,28;179.800;-60;-60;-60
0,003597;0,28;2;2,28;179.850;-60;-60;-60
0,003598;0,264;2;2,264;179.900;-60;-60;-60
0,003599;0,24;2;2,24;179.950;-60;-60;-60
0,0036;0,24;2;2,24;180.000;-47,3003;-60;-47,2865
0,003601;0,24;2;2,24;180.050;-49,3162;-60;-49,3011
0,003602;0,24;2;2,24;180.100;-60;-60;-60
0,003603;0,24;2;2,24;180.150;-60;-60;-60
0,003604;0,24;2;2,24;180.200;-60;-60;-60
0,003605;0,24;2;2,24;180.250;-60;-60;-60
0,003606;0,24;2;2,24;180.300;-60;-60;-60
0,003607;0,24;2;2,24;180.350;-60;-60;-60
0,003608;0,22;2;2,22;180.400;-60;-60;-60
0,003609;0,2;2;2,2;180.450;-60;-60;-60
0,00361;0,2;2;2,2;180.500;-60;-53,4402;-53,3856
0,003611;0,2;2;2,2;180.550;-60;-55,4394;-55,3731
0,003612;0,2;2;2,2;180.600;-60;-60;-60
0,003613;0,2;2;2,2;180.650;-60;-60;-60
0,003614;0,2;2;2,2;180.700;-60;-60;-60
0,003615;0,2;2;2,2;180.750;-60;-60;-60
0,003616;0,2;2;2,2;180.800;-60;-60;-60
0,003617;0,2;2;2,2;180.850;-60;-60;-60
0,003618;0,176;2;2,176;180.900;-60;-60;-60
0,003619;0,16;2;2,16;180.950;-60;-60;-60
0,00362;0,16;2;2,16;181.000;-47,3637;-60;-47,3497
0,003621;0,16;2;2,16;181.050;-49,3514;-60;-49,3361
0,003622;0,16;2;2,16;181.100;-60;-60;-60
0,003623;0,16;2;2,16;181.150;-60;-60;-60
0,003624;0,16;2;2,16;181.200;-60;-60;-60
0,003625;0,16;2;2,16;181.250;-60;-60;-60
0,003626;0,16;2;2,16;181.300;-60;-60;-60
0,003627;0,16;2;2,16;181.350;-60;-60;-60
0,003628;0,132;2;2,132;181.400;-60;-60;-60
0,003629;0,12;2;2,12;181.450;-60;-60;-60
0,00363;0,12;2;2,12;181.500;-60;-53,5038;-53,4487
0,003631;0,12;2;2,12;181.550;-60;-55,474;-55,4069
0,003632;0,12;2;2,12;181.600;-60;-60;-60
0,003633;0,12;2;2,12;181.650;-60;-60;-60
0,003634;0,12;2;2,12;181.700;-60;-60;-60
0,003635;0,12;2;2,12;181.750;-60;-60;-60
0,003636;0,12;2;2,12;181.800;-60;-60;-60
0,003637;0,12;2;2,12;181.850;-60;-60;-60
0,003638;0,088;2;2,088;181.900;-60;-60;-60
0,003639;0,08;2;2,08;181.950;-60;-60;-60
0,00364;0,08;2;2,08;182.000;-47,4288;-60;-47,4147
0,003641;0,08;2;2,08;182.050;-49,3838;-60;-49,3683
0,003642;0,08;2;2,08;182.100;-60;-60;-60
0,003643;0,08;2;2,08;182.150;-60;-60;-60
0,003644;0,08;2;2,08;182.200;-60;-60;-60
0,003645;0,08;2;2,08;182.250;-60;-60;-60
0,003646;0,08;2;2,08;182.300;-60;-60;-60
0,003647;0,08;2;2,08;182.350;-60;-60;-60
0,003648;0,044;2;2,044;182.400;-60;-60;-60
0,003649;0,04;2;2,04;182.450;-60;-60;-60
0,00365;0,04;2;2,04;182.500;-60;-53,5672;-53,5078
0,003651;0,04;2;2,04;182.550;-60;-55,5084;-55,4455
0,003652;0,04;2;2,04;182.600;-60;-60;-60
0,003653;0,04;2;2,04;182.650;-60;-60;-60
0,003654;0,04;2;2,04;182.700;-60;-60;-60
0,003655;0,04;2;2,04;182.750;-60;-60;-60
0,003656;0,04;2;2,04;182.800;-60;-60;-60
0,003657;0,04;2;2,04;182.850;-60;-60;-60
0,003658;0;2;2;182.900;-60;-60;-60
0,003659;0;2;2;182.950;-60;-60;-60
0,00366;0;2;2;183.000;-47,4928;-60;-47,4786
0,003661;0;2;2;183.050;-49,4173;-60;-49,4017
0,003662;0;2;2;183.100;-60;-60;-60
0,003663;0;2;2;183.150;-60;-60;-60
0,003664;0;2;2;183.200;-60;-60;-60
0,003665;0;2;2;183.250;-60;-60;-60
0,003666;0;2;2;183.300;-60;-60;-60
0,003667;-0,004;2;1,996;183.350;-60;-60;-60
0,003668;-0,04;2;1,96;183.400;-60;-60;-60
0,003669;-0,04;2;1,96;183.450;-60;-60;-60
0,00367;-0,04;2;1,96;183.500;-60;-53,6305;-53,5691
0,003671;-0,04;2;1,96;183.550;-60;-55,5427;-55,4808
0,003672;-0,04;2;1,96;183.600;-60;-60;-60
0,003673;-0,04;2;1,96;183.650;-60;-60;-60
0,003674;-0,04;2;1,96;183.700;-60;-60;-60
0,003675;-0,04;2;1,96;183.750;-60;-60;-60
0,003676;-0,04;2;1,96;183.800;-60;-60;-60
