"t / s";"CH1 / V";"CH2 / V";"MATH / V";"f / Hz";"SP1 / dB";"SP2 / dB";"SPM / dB"
9,8e-05;-1,76;2;0,24;4.900;-60;-60;-60
9,9e-05;-1,76;2;0,24;4.950;-22,3799;-60;-22,3801
0,0001;-1,76;2;0,24;5.000;-14,8061;-60;-14,806
0,000101;-1,76;2;0,24;5.050;-22,059;-60;-22,0588
0,000102;-1,76;2;0,24;5.100;-60;-60;-60
0,000103;-1,764;2;0,236;5.150;-60;-60;-60
0,000104;-1,8;2;0,2;5.200;-60;-60;-60
0,000105;-1,8;2;0,2;5.250;-60;-60;-60
0,000106;-1,8;2;0,2;5.300;-60;-60;-60
0,000107;-1,8;2;0,2;5.350;-60;-60;-60
0,000108;-1,8;2;0,2;5.400;-60;-60;-60
0,000109;-1,8;2;0,2;5.450;-60;-29,331;-29,3314
0,00011;-1,8;2;0,2;5.500;-60;-21,7412;-21,7414
0,000111;-1,8;2;0,2;5.550;-60;-28,978;-28,9766
0,000112;-1,8;2;0,2;5.600;-60;-60;-60
0,000113;-1,808;2;0,192;5.650;-60;-60;-60
0,000114;-1,84;2;0,16;5.700;-60;-60;-60
0,000115;-1,84;2;0,16;5.750;-60;-60;-60
0,000116;-1,84;2;0,16;5.800;-60;-60;-60
0,000117;-1,84;2;0,16;5.850;-60;-60;-60
0,000118;-1,84;2;0,16;5.900;-60;-60;-60
0,000119;-1,84;2;0,16;5.950;-23,9965;-60;-23,9967
0,00012;-1,84;2;0,16;6.000;-16,3901;-60;-16,39
0,000121;-1,84;2;0,16;6.050;-23,6114;-60;-23,6111
0,000122;-1,84;2;0,16;6.100;-60;-60;-60
0,000123;-1,852;2;0,148;6.150;-60;-60;-60
0,000124;-1,88;2;0,12;6.200;-60;-60;-60
0,000125;-1,88;2;0,12;6.250;-60;-60;-60
0,000126;-1,88;2;0,12;6.300;-60;-60;-60
0,000127;-1,88;2;0,12;6.350;-60;-60;-60
0,000128;-1,88;2;0,12;6.400;-60;-60;-60
0,000129;-1,88;2;0,12;6.450;-60;-30,8149;-30,8154
0,00013;-1,88;2;0,12;6.500;-60;-23,1927;-23,1929
0,000131;-1,88;2;0,12;6.550;-60;-30,3977;-30,396
0,000132;-1,88;2;0,12;6.600;-60;-60;-60
0,000133;-1,896;2;0,104;6.650;-60;-60;-60
0,000134;-1,92;2;0,08;6.700;-60;-60;-60
0,000135;-1,92;2;0,08;6.750;-60;-60;-60
0,000136;-1,92;2;0,08;6.800;-60;-60;-60
0,000137;-1,92;2;0,08;6.850;-60;-60;-60
0,000138;-1,92;2;0,08;6.900;-60;-60;-60
0,000139;-1,92;2;0,08;6.950;-25,3682;-60;-25,3685
0,00014;-1,92;2;0,08;7.000;-17,7296;-60;-17,7296
0,000141;-1,92;2;0,08;7.050;-24,9189;-60;-24,9186
0,000142;-1,92;2;0,08;7.100;-60;-60;-60
0,000143;-1,94;2;0,06;7.150;-60;-60;-60
0,000144;-1,96;2;0,04;7.200;-60;-60;-60
0,000145;-1,96;2;0,04;7.250;-60;-60;-60
0,000146;-1,96;2;0,04;7.300;-60;-60;-60
0,000147;-1,96;2;0,04;7.350;-60;-60;-60
0,000148;-1,96;2;0,04;7.400;-60;-60;-60
0,000149;-1,96;2;0,04;7.450;-60;-32,0908;-32,0919
0,00015;-1,96;2;0,04;7.500;-60;-24,4363;-24,4362
0,000151;-1,96;2;0,04;7.550;-60;-31,6094;-31,608
0,000152;-1,96;2;0,04;7.600;-60;-60;-60
0,000153;-1,984;2;0,016;7.650;-60;-60;-60
0,000154;-2;2;0;7.700;-60;-60;-60
0,000155;-2;2;0;7.750;-60;-60;-60
0,000156;-2;2;0;7.800;-60;-60;-60
0,000157;-2;2;0;7.850;-60;-60;-60
0,000158;-2;2;0;7.900;-60;-60;-60
0,000159;-2;2;0;7.950;-26,5608;-60;-26,5611
0,00016;-2;2;0;8.000;-18,8902;-60;-18,8901
0,000161;-2;2;0;8.050;-26,0473;-60;-26,0469
0,000162;-2;2;0;8.100;-60;-60;-60
0,000163;0,8;0,6;1,4;8.150;-60;-60;-60
0,000164;2;0;2;8.200;-60;-60;-60
0,000165;2;0;2;8.250;-60;-60;-60
0,000166;2;0;2;8.300;-60;-60;-60
0,000167;2;0;2;8.350;-60;-60;-60
0,000168;2;0;2;8.400;-60;-60;-60
0,000169;2;0;2;8.450;-60;-33,211;-33,2129
0,00017;2;0;2;8.500;-60;-25,5241;-25,5238
0,000171;2;0;2;8.550;-60;-32,6654;-32,6644
0,000172;2;0;2;8.600;-60;-60;-60
0,000173;1,968;0;1,968;8.650;-60;-60;-60
0,000174;1,96;0;1,96;8.700;-60;-60;-60
0,000175;1,96;0;1,96;8.750;-60;-60;-60
0,000176;1,96;0;1,96;8.800;-60;-60;-60
0,000177;1,96;0;1,96;8.850;-60;-60;-60
0,000178;1,96;0;1,96;8.900;-60;-60;-60
0,000179;1,96;0;1,96;8.950;-27,6168;-60;-27,6171
0,00018;1,96;0;1,96;9.000;-19,914;-60;-19,914
0,000181;1,96;0;1,96;9.050;-27,0391;-60;-27,0387
0,000182;1,96;0;1,96;9.100;-60;-60;-60
0,000183;1,924;0;1,924;9.150;-60;-60;-60
0,000184;1,92;0;1,92;9.200;-60;-60;-60
0,000185;1,92;0;1,92;9.250;-60;-60;-60
0,000186;1,92;0;1,92;9.300;-60;-60;-60
0,000187;1,92;0;1,92;9.350;-60;-60;-60
0,000188;1,92;0;1,92;9.400;-60;-60;-60
0,000189;1,92;0;1,92;9.450;-60;-34,2103;-34,2125
0,00019;1,92;0;1,92;9.500;-60;-26,4909;-26,4905
0,000191;1,92;0;1,92;9.550;-60;-33,6005;-33,5994
0,000192;1,92;0;1,92;9.600;-60;-60;-60
0,000193;1,88;0;1,88;9.650;-60;-60;-60
0,000194;1,88;0;1,88;9.700;-60;-60;-60
0,000195;1,88;0;1,88;9.750;-60;-60;-60
0,000196;1,88;0;1,88;9.800;-60;-60;-60
0,000197;1,88;0;1,88;9.850;-60;-60;-60
0,000198;1,88;0;1,88;9.900;-60;-60;-60
0,000199;1,88;0;1,88;9.950;-28,5653;-60;-28,5657
0,0002;1,88;0;1,88;10.000;-20,8299;-60;-20,8299
0,000201;1,88;0;1,88;10.050;-27,923;-60;-27,9226
0,000202;1,876;0;1,876;10.100;-60;-60;-60
0,000203;1,84;0;1,84;10.150;-60;-60;-60
0,000204;1,84;0;1,84;10.200;-60;-60;-60
0,000205;1,84;0;1,84;10.250;-60;-60;-60
0,000206;1,84;0;1,84;10.300;-60;-60;-60
0,000207;1,84;0;1,84;10.350;-60;-60;-60
0,000208;1,84;0;1,84;10.400;-60;-60;-60
0,000209;1,84;0;1,84;10.450;-60;-35,113;-35,1149
0,00021;1,84;0;1,84;10.500;-60;-27,3611;-27,3608
0,000211;1,84;0;1,84;10.550;-60;-34,4389;-34,4373
0,000212;1,832;0;1,832;10.600;-60;-60;-60
0,000213;1,8;0;1,8;10.650;-60;-60;-60
0,000214;1,8;0;1,8;10.700;-60;-60;-60
0,000215;1,8;0;1,8;10.750;-60;-60;-60
0,000216;1,8;0;1,8;10.800;-60;-60;-60
0,000217;1,8;0;1,8;10.850;-60;-60;-60
0,000218;1,8;0;1,8;10.900;-60;-60;-60
